#{"t_start": 1761919861.099034, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
220.0,1903,578.546347
375.0,3433,580.209368
170.0,2217,581.286159
365.0,2553,582.524796
150.0,1863,583.431336
440.0,3647,585.200505
610.0,4429,587.3647
305.0,2629,588.662685
420.0,3357,590.325905
490.0,4067,592.334229
290.0,2873,593.761669
370.0,2979,595.231089
325.0,2991,596.673533
245.0,2607,597.953821
325.0,2977,599.402554
175.0,2055,600.399515
460.0,2705,601.719973
215.0,2013,602.695457
710.0,3777,604.506962
280.0,3463,606.180933
195.0,2555,610.509931
160.0,1743,611.363229
380.0,2961,612.79654
570.0,2555,614.025855
305.0,2881,615.415547
620.0,3383,617.05416
420.0,3141,618.580665
525.0,3435,620.219793
230.0,2097,621.232653
260.0,1687,622.049406
260.0,2527,623.27509
210.0,1877,624.183621
590.0,2763,625.517776
225.0,2237,626.594655
290.0,2271,627.68927
625.0,3247,629.249449
200.0,2077,630.243257
410.0,2989,631.6873
170.0,2003,632.663015
165.0,1523,633.391637
455.0,3651,635.155205
600.0,4093,637.103831
420.0,3581,638.821372
150.0,2025,639.799472
405.0,2777,641.134784
175.0,2109,642.1572
340.0,2789,643.4995
890.0,4037,645.431849
600.0,3083,646.926139
670.0,3951,648.830334
390.0,2513,650.03407
465.0,3805,651.869346
370.0,2493,653.071093
350.0,3025,654.667173
285.0,3339,656.281456
515.0,2993,657.749373
270.0,1967,658.717651
490.0,3857,663.821025
330.0,2821,665.222951
270.0,2429,666.427149
220.0,1585,667.208975
265.0,2285,668.323973
225.0,2533,669.56647
465.0,3141,671.106554
390.0,2971,672.559269
195.0,1617,673.360583
85.0,1489,674.097156
390.0,3491,675.823776
770.0,4006,677.776297
350.0,2383,678.924507
270.0,2723,680.251376
460.0,4619,682.48715
255.0,2999,683.96238
200.0,1501,684.682702
115.0,1473,685.391579
200.0,2485,686.597359
355.0,2805,687.953571
360.0,3015,689.460902
400.0,3009,690.949568
55.0,1511,691.688951
255.0,2061,692.703151
490.0,3387,694.377894
165.0,2443,695.592791
370.0,2799,696.960846
200.0,2827,698.334349
350.0,2813,699.688113
605.0,2911,701.085665
290.0,2539,702.311233
